,LedgerId,UnitId,BuildingId,AvailableDate,BestTerm,Terms,SqFt,Bed,Bath,FloorplanId,FloorplanName,Floor,Description,Amenities,Special,Floorplan,Photos,Videos,Matterports,Zillows,ExcludeFromOll,FurnishAvailable
0,19288,1013,401,5/21/2021,"{'Length': 12, 'Price': 1610}","[{'Length': 12, 'Price': 1610}, {'Length': 11, 'Price': 1640}, {'Length': 10, 'Price': 1640}, {'Length': 9, 'Price': 1695}, {'Length': 8, 'Price': 1705}, {'Length': 7, 'Price': 1610}, {'Length': 6, 'Price': 1655}, {'Length': 5, 'Price': 1785}, {'Length': 4, 'Price': 1810}, {'Length': 3, 'Price': 1785}]",458,0,1,00002653,Unit 413,Floor 10,"This Studio home features a fluid living space with two closets, a galley style kitchen, and floor to ceiling windows overlooking our private courtyard.","[{'Name': 'Northern Exposure', 'Icon': ''}, {'Name': 'Western Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002653-0-1-475",[],[],[],[],False,False
1,19288,1102,401,5/6/2021,"{'Length': 12, 'Price': 1920}","[{'Length': 12, 'Price': 1920}, {'Length': 11, 'Price': 1955}, {'Length': 10, 'Price': 1955}, {'Length': 9, 'Price': 2400}, {'Length': 8, 'Price': 2420}, {'Length': 7, 'Price': 2265}, {'Length': 6, 'Price': 2305}, {'Length': 5, 'Price': 2275}, {'Length': 4, 'Price': 2330}, {'Length': 3, 'Price': 2260}]",679,1,1,00002643,Unit 402,Floor 11,"This Junior apartment/ 1 Bath home offers a living space featuring a bed nook with oversized sliding door. The home has a galley style kitchen, generous closet space and depending on the floor, a Juliette balcony off of the living room.","[{'Name': 'Southern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002643-1-1-679",[],[],[],[],False,False
15,19288,1104,401,4/19/2021,"{'Length': 12, 'Price': 2600}","[{'Length': 12, 'Price': 2600}, {'Length': 11, 'Price': 2650}, {'Length': 10, 'Price': 2650}, {'Length': 9, 'Price': 3140}, {'Length': 8, 'Price': 3090}, {'Length': 7, 'Price': 2990}, {'Length': 6, 'Price': 3135}, {'Length': 5, 'Price': 3305}, {'Length': 4, 'Price': 3305}, {'Length': 3, 'Price': 3305}]",1050,1,2,00002645,Unit 404,Floor 11,"This 1 Bed with Den/ 2 Bath home offers an open style kitchen and breakfast bar, a private den with closet, and a balcony. Depending on the floor, there may be an additional Juliette balcony off the living room.","[{'Name': 'Balcony', 'Icon': ''}, {'Name': 'Extra Den or Office Space', 'Icon': ''}, {'Name': 'Southern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002645-1-2-966","[{'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-Unit404FP-1/425-mass-apartments-404-fp', 'Alt': '425 Mass Apartments - 404 FP', 'Id': 174015, 'MediaTags': ['In Unit'], 'Caption': 'Bathroom', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-Unit404FP-10/425-mass-apartments-404-fp', 'Alt': '425 Mass Apartments - 404 FP', 'Id': 174025, 'MediaTags': ['In Unit'], 'Caption': 'Kitchen with Stainless Steel Appliances and Granite Countertops', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-Unit404FP-2/425-mass-apartments-404-fp', 'Alt': '425 Mass Apartments - 404 FP', 'Id': 174035, 'MediaTags': ['In Unit'], 'Caption': 'Kitchen with Stainless Steel Appliances and Granite Countertops', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-Unit404FP-3/425-mass-apartments-404-fp', 'Alt': '425 Mass Apartments - 404 FP', 'Id': 174045, 'MediaTags': ['In Unit'], 'Caption': 'Kitchen with Stainless Steel Appliances and Granite Countertops', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-Unit404FP-4/425-mass-apartments-404-fp', 'Alt': '425 Mass Apartments - 404 FP', 'Id': 174055, 'MediaTags': ['In Unit'], 'Caption': 'Kitchen with Granite Countertops ', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-Unit404FP-5/425-mass-apartments-404-fp', 'Alt': '425 Mass Apartments - 404 FP', 'Id': 174065, 'MediaTags': ['In Unit'], 'Caption': 'Living Room', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-Unit404FP-6/425-mass-apartments-404-fp', 'Alt': '425 Mass Apartments - 404 FP', 'Id': 174075, 'MediaTags': ['In Unit'], 'Caption': 'Bathroom', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-Unit404FP-7/425-mass-apartments-404-fp', 'Alt': '425 Mass Apartments - 404 FP', 'Id': 174085, 'MediaTags': ['In Unit'], 'Caption': 'Carpeted Living Room with Balcony', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-Unit404FP-8/425-mass-apartments-404-fp', 'Alt': '425 Mass Apartments - 404 FP', 'Id': 174095, 'MediaTags': ['In Unit'], 'Caption': 'Carpeted Bedroom', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-401FP-6/425-mass-apartments-401fp', 'Alt': '425 Mass Apartments - 401FP', 'Id': 189482, 'MediaTags': ['In Unit'], 'Caption': 'Views from the Balcony', 'DisplayOrder': 0, 'MediaId': 0}]",[],[],[],False,False
7,19288,1207,401,5/14/2021,"{'Length': 12, 'Price': 2106}","[{'Length': 12, 'Price': 2106}, {'Length': 11, 'Price': 2141}, {'Length': 10, 'Price': 2141}, {'Length': 9, 'Price': 2596}, {'Length': 8, 'Price': 2611}, {'Length': 7, 'Price': 2456}, {'Length': 6, 'Price': 2451}, {'Length': 5, 'Price': 2471}, {'Length': 4, 'Price': 2531}, {'Length': 3, 'Price': 2451}]",694,1,1,00002648,Unit 407,Floor 12,"This apartment home offers a living room with a built-in bookcase, floor to ceiling windows, as well as an attached balcony. The bedroom is spacious (queen bed) and features a step-in closet.","[{'Name': 'Balcony', 'Icon': ''}, {'Name': 'Eastern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002648-1-1-694",[],[],[],[],False,False
23,19288,401,401,4/19/2021,"{'Length': 12, 'Price': 2715}","[{'Length': 12, 'Price': 2715}, {'Length': 11, 'Price': 2765}, {'Length': 10, 'Price': 2765}, {'Length': 9, 'Price': 3255}, {'Length': 8, 'Price': 3205}, {'Length': 7, 'Price': 3105}, {'Length': 6, 'Price': 3250}, {'Length': 5, 'Price': 3420}, {'Length': 4, 'Price': 3420}, {'Length': 3, 'Price': 3420}]",1050,1,2,00002642,Unit 401,Floor 4,"This 1 Bed with Den/ 2 Bath corner home offers an open style kitchen and breakfast bar, floor to ceiling windows and a balcony off of the living room. The bedroom features a large closet and en-suite bathroom with stand-in shower.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","[{'Name': 'Balcony', 'Icon': ''}, {'Name': 'Juliet Balcony', 'Icon': ''}, {'Name': 'Southern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002642-1-2-985","[{'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-Unit404FP-9/425-mass-apartments-404fp', 'Alt': '425 Mass Apartments - 401FP', 'Id': 199989, 'MediaTags': ['In Unit'], 'Caption': 'Views from the Balcony', 'DisplayOrder': 0, 'MediaId': 0}]",[],[],[],False,False
0,19288,703,401,5/21/2021,"{'Length': 12, 'Price': 3253}","[{'Length': 12, 'Price': 3253}, {'Length': 11, 'Price': 3318}, {'Length': 10, 'Price': 3318}, {'Length': 9, 'Price': 3573}, {'Length': 8, 'Price': 3588}, {'Length': 7, 'Price': 3383}, {'Length': 6, 'Price': 3633}, {'Length': 5, 'Price': 3748}, {'Length': 4, 'Price': 3748}, {'Length': 3, 'Price': 3748}]",1284,2,2,00002644,Unit 403,Floor 7,"This 2 Bed with Den/ 2.5 Bath home offers an open style kitchen and breakfast bar that is perfect for entertaining, a powder room, and plenty of closet space.","[{'Name': 'Balcony', 'Icon': ''}, {'Name': 'Southern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002644-2-2-1284","[{'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-401FP-6/425-mass-apartments-401fp', 'Alt': '425 Mass Apartments - 401FP', 'Id': 189478, 'MediaTags': ['In Unit'], 'Caption': 'Views from the Balcony', 'DisplayOrder': 0, 'MediaId': 0}]",[],[],[],False,False
3,19288,708,401,7/2/2021,"{'Length': 12, 'Price': 1968}","[{'Length': 12, 'Price': 1968}, {'Length': 11, 'Price': 2003}, {'Length': 10, 'Price': 2003}, {'Length': 9, 'Price': 2148}, {'Length': 8, 'Price': 2238}, {'Length': 7, 'Price': 2293}, {'Length': 6, 'Price': 2398}, {'Length': 5, 'Price': 2708}, {'Length': 4, 'Price': 2683}, {'Length': 3, 'Price': 2718}]",702,1,1,00002647,Unit 406/408,Floor 7,"This apartment home offers a living room with floor to ceiling windows, a built-in bookcase and a kitchen that opens out to the living room! The bedroom is spacious (queen bed) and features a step-in closet and an attached balcony.","[{'Name': 'Balcony', 'Icon': ''}, {'Name': 'Eastern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002647-1-1-702",[],[],[],[],False,False
5,19288,806,401,4/20/2021,"{'Length': 12, 'Price': 2079}","[{'Length': 12, 'Price': 2079}, {'Length': 11, 'Price': 2114}, {'Length': 10, 'Price': 2114}, {'Length': 9, 'Price': 2394}, {'Length': 8, 'Price': 2414}, {'Length': 7, 'Price': 2289}, {'Length': 6, 'Price': 2384}, {'Length': 5, 'Price': 2409}, {'Length': 4, 'Price': 2459}, {'Length': 3, 'Price': 2409}]",702,1,1,00002647,Unit 406/408,Floor 8,"This apartment home offers a living room with floor to ceiling windows, a built-in bookcase and a kitchen that opens out to the living room! The bedroom is spacious (queen bed) and features a step-in closet and an attached balcony.","[{'Name': 'Balcony', 'Icon': ''}, {'Name': 'Eastern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002647-1-1-702",[],[],[],[],False,False
2,19288,809,401,5/27/2021,"{'Length': 12, 'Price': 1957}","[{'Length': 12, 'Price': 1957}, {'Length': 11, 'Price': 1992}, {'Length': 10, 'Price': 1992}, {'Length': 9, 'Price': 2327}, {'Length': 8, 'Price': 2347}, {'Length': 7, 'Price': 2212}, {'Length': 6, 'Price': 2237}, {'Length': 5, 'Price': 2312}, {'Length': 4, 'Price': 2382}, {'Length': 3, 'Price': 2327}]",726,1,1,00002649,Unit 409,Floor 8,This apartment corner home offers a living room with floor to ceiling windows as well as an attached balcony. Depending on the floor there may be balconies in the bedroom.,"[{'Name': 'Balcony', 'Icon': ''}, {'Name': 'Corner Unit', 'Icon': ''}, {'Name': 'Eastern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002649-1-1-726",[],[],[],[],False,False
0,19288,902,401,6/18/2021,"{'Length': 12, 'Price': 1905}","[{'Length': 12, 'Price': 1905}, {'Length': 11, 'Price': 1940}, {'Length': 10, 'Price': 1940}, {'Length': 9, 'Price': 2150}, {'Length': 8, 'Price': 2300}, {'Length': 7, 'Price': 2195}, {'Length': 6, 'Price': 2265}, {'Length': 5, 'Price': 2430}, {'Length': 4, 'Price': 2545}, {'Length': 3, 'Price': 2465}]",679,1,1,00002643,Unit 402,Floor 9,"This Junior apartment/ 1 Bath home offers a living space featuring a bed nook with oversized sliding door. The home has a galley style kitchen, generous closet space and depending on the floor, a Juliette balcony off of the living room.","[{'Name': 'Southern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002643-1-1-679",[],[],[],[],False,False
3,19288,903,401,7/3/2021,"{'Length': 12, 'Price': 3350}","[{'Length': 12, 'Price': 3350}, {'Length': 11, 'Price': 3415}, {'Length': 10, 'Price': 3415}, {'Length': 9, 'Price': 3595}, {'Length': 8, 'Price': 3610}, {'Length': 7, 'Price': 3440}, {'Length': 6, 'Price': 3605}, {'Length': 5, 'Price': 4250}, {'Length': 4, 'Price': 4305}, {'Length': 3, 'Price': 4085}]",1284,2,2,00002644,Unit 403,Floor 9,"This 2 Bed with Den/ 2.5 Bath home offers an open style kitchen and breakfast bar that is perfect for entertaining, a powder room, and plenty of closet space.","[{'Name': 'Balcony', 'Icon': ''}, {'Name': 'Southern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-00002644-2-2-1284","[{'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-401FP-6/425-mass-apartments-401fp', 'Alt': '425 Mass Apartments - 401FP', 'Id': 189480, 'MediaTags': ['In Unit'], 'Caption': 'Views from the Balcony', 'DisplayOrder': 0, 'MediaId': 0}]",[],[],[],False,False
8,19288,1014,425,4/19/2021,"{'Length': 12, 'Price': 2120}","[{'Length': 12, 'Price': 2120}, {'Length': 11, 'Price': 2155}, {'Length': 10, 'Price': 2155}, {'Length': 9, 'Price': 2435}, {'Length': 8, 'Price': 2455}, {'Length': 7, 'Price': 2330}, {'Length': 6, 'Price': 2425}, {'Length': 5, 'Price': 2450}, {'Length': 4, 'Price': 2500}, {'Length': 3, 'Price': 2450}]",773,1,1,378478,One Bedroom E/773,Floor 10,"This apartment home offers a spacious living room with floor to ceiling windows, an attached balcony, a built-in bookcase and a kitchen that opens out to the living room that is perfect for entertaining!","[{'Name': 'Balcony', 'Icon': ''}, {'Name': 'Eastern Exposure', 'Icon': ''}, {'Name': 'Southern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-378478-1-1-773","[{'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-58/425-mass-apartments-kitchen', 'Alt': '425 Mass Apartments - Kitchen', 'Id': 267682, 'MediaTags': ['In Unit'], 'Caption': 'Kitchen with Stainless Steel Appliances', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-60/425-mass-apartments-bathroom-and-in-home-washer-and-dryer', 'Alt': '425 Mass Apartments - Bathroom and In-home Washer and Dryer', 'Id': 267846, 'MediaTags': ['In Unit'], 'Caption': 'Bathroom and In-home Washer and Dryer', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-73/425-mass-apartments-living-area', 'Alt': '425 Mass Apartments - Living Area', 'Id': 304640, 'MediaTags': ['In Unit'], 'Caption': 'Living Room with Hardwood Flooring', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-72/425-mass-apartments-bedroom', 'Alt': '425 Mass Apartments - Bedroom ', 'Id': 304694, 'MediaTags': ['In Unit'], 'Caption': 'Carpeted Bedroom', 'DisplayOrder': 0, 'MediaId': 0}]",[],[],[],False,False
9,19288,1016,425,4/19/2021,"{'Length': 12, 'Price': 2120}","[{'Length': 12, 'Price': 2120}, {'Length': 11, 'Price': 2155}, {'Length': 10, 'Price': 2155}, {'Length': 9, 'Price': 2435}, {'Length': 8, 'Price': 2455}, {'Length': 7, 'Price': 2330}, {'Length': 6, 'Price': 2425}, {'Length': 5, 'Price': 2450}, {'Length': 4, 'Price': 2500}, {'Length': 3, 'Price': 2450}]",773,1,1,378478,One Bedroom E/773,Floor 10,"This apartment home offers a spacious living room with floor to ceiling windows, an attached balcony, a built-in bookcase and a kitchen that opens out to the living room that is perfect for entertaining!","[{'Name': 'Balcony', 'Icon': ''}, {'Name': 'Eastern Exposure', 'Icon': ''}, {'Name': 'Southern Exposure', 'Icon': ''}]","{'Active': False, 'Title': None, 'Expires': None}","https://media.equityapartments.com/image/upload/f_auto,q_auto/3938-FP-378478-1-1-773","[{'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-58/425-mass-apartments-kitchen', 'Alt': '425 Mass Apartments - Kitchen', 'Id': 267684, 'MediaTags': ['In Unit'], 'Caption': 'Kitchen with Stainless Steel Appliances', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-60/425-mass-apartments-bathroom-and-in-home-washer-and-dryer', 'Alt': '425 Mass Apartments - Bathroom and In-home Washer and Dryer', 'Id': 267848, 'MediaTags': ['In Unit'], 'Caption': 'Bathroom and In-home Washer and Dryer', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-73/425-mass-apartments-living-area', 'Alt': '425 Mass Apartments - Living Area', 'Id': 304642, 'MediaTags': ['In Unit'], 'Caption': 'Living Room with Hardwood Flooring', 'DisplayOrder': 0, 'MediaId': 0}, {'ImageUrl': 'https://media.equityapartments.com/images/c_crop,x_0,y_0,w_1920,h_1080/c_fill,w_1920,h_1080/q_auto,f_auto/3938-72/425-mass-apartments-bedroom', 'Alt': '425 Mass Apartments - Bedroom ', 'Id': 304696, 'MediaTags': ['In Unit'], 'Caption': 'Carpeted Bedroom', 'DisplayOrder': 0, 'MediaId': 0}]",[],[],[],False,False
